,customer_id,member_id,full_name,gender,date_of_birth,address,city,country,phone_number,email,occupation,education,marital_status,membership_level,join_date,expiry_date,membership_status,customer_points,total_redeemed_points,discount_rate,referral_code,age,membership_lifespan,num_day_since_last_active,num_active_last_7d,num_active_last_14d,num_active_last_30d,signup_in_latenight,most_active_hour,num_apply_lending,total_amount_spent,total_amount_spent_last_30d,total_amount_spent_last_60d,total_amount_spent_last_90d,total_amount_spent_last_180d,total_amount_spent_last_365d,total_tax_amount_spent,total_fee_amount_spent,num_completed_txn,num_canceled_txn,num_reject_txn,pct_reject2total_txn,top_rejected_reason,num_refunded_txn,top_refunded_reason,top_payment_method,top_payment_channel,is_ordering_shipping_address_same,prob_abuse_promotion,num_used_promotion,prob_abnormal_activity,num_select_promotion,num_interest_products,income_spending_ratio,income_stability,total_tax_amount,income_source,annually_income_segment,top_property_type,in_debt,monthly_bill_amount,total_annual_bill_amount
10,4499,4499,Đặng Công H*u,Nam,2012-02-03,"2447/15/77, Lê Lợi, Phường Bình Trưng Đông, Thanh Oai, Vĩnh Phúc, Việt Nam",Vĩnh Phúc,Việt Nam,219.890.6713,cmartinez@example.org,Đầu bếp,Đại học,Đã kết hôn,Loyalty,2022-06-11,,Active,344,171,0.04,KT257,10,801,350,188,404,288,False,0,15,5120532000,746288000,547297000,341223000,435444000,239135000,10952800,767610,206,93,36,0.2866153520269324,Dịch vụ không chuyên nghiệp,1,Sản phẩm đã hết hạn sử dụng,Chuyển khoản ngân hàng,"(['Điểm thanh toán tự động'], [0])",True,0.6077903801201494,80,0.68,747,10,0.3049945077379543,Rất ổn định,7707000,Freelancer,Trên 3 tỷ,Đất đai,Không,10800000,50436000
11,92762,92762,Uông Thành B*o,Nam,1993-05-30,"1246/736, Đinh Tiên Hoàng, Phường 6, Phú Thọ, Bình Phước, Việt Nam",Bình Phước,Việt Nam,+1-418-516-8451x091,ebony82@example.com,Kỹ sư phần mềm,Sinh viên,Độc thân,Loyalty,2015-11-04,,Active,339,315,0.05,HJ772,29,440,188,125,343,185,False,12,6,2753566000,289196000,843550000,574016000,639923000,476738000,38866600,7751100,180,96,7,0.7683131773501343,Vấn đề khác,14,Sản phẩm đã hết hạn sử dụng,Tiền mặt khi nhận hàng (COD),"(['Ứng dụng điện thoại di động'], [0])",False,0.1768455754485507,39,0.02,153,37,0.7495799930909204,Thất thường,3441000,Kinh doanh truyền thống,Trên 3 tỷ,Đất đai,Có,46200000,337476000
12,9620,9620,Cao Diễm K***h,Nam,1981-06-10,"2544/52/102/76/130, Lê Văn Sỹ, Phường 2, Quận 11, Hà Nội, Việt Nam",Hà Nội,Việt Nam,(531)989-3926x165,petersenchristine@example.net,Lập trình viên,Đại học,Có 2 bé,VIP,2022-07-30,,Active,750,244,0.07,WW266,41,831,185,179,558,609,True,14,9,973537000,963338000,48696000,590631000,733933000,675637000,10986900,8268450,101,78,1,0.6680314121655233,Dịch vụ không chuyên nghiệp,6,Vấn đề khác,Tiền mặt khi nhận hàng (COD),"(['Điểm thanh toán tự động'], [0])",True,0.978338072719365,9,0.95,789,0,0.8571921700077434,Ổn định,1888000,Cho thuê,Trên 1 tỷ,Bất động sản thương mại,Có,49400000,280176000
13,36624,36624,Hồ Hậu Y*n,Nữ,2007-05-27,"1837/337, Đồng Khởi, Phường Thủ Thiêm, Quận Gò Vấp, Cần Thơ, Việt Nam",Cần Thơ,Việt Nam,+1-819-875-8144x87590,jeffrey89@example.com,Xây dựng,Sinh viên,Độc thân,VIP,2017-01-13,,Active,641,246,0.1,KC785,15,710,192,34,399,166,False,21,19,6014845000,327132000,814945000,843705000,401234000,840640000,39257900,2618940,271,70,1,0.2558087553226671,Sản phẩm không đáp ứng yêu cầu của khách hàng,11,Sản phẩm bị hỏng trong quá trình vận chuyển,Thẻ tín dụng,"(['Giao diện thanh toán trực tuyến trên website'], [0])",False,0.2880345531626717,16,0.34,80,42,0.7913674307386013,Rất ổn định,2098000,Cho thuê,Từ 300 triệu tới 1 tỷ,Căn hộ/Chung cư,Có,17700000,283764000
14,77539,77539,Bạch Tuyến T***h,Nữ,1988-05-23,"2996/802, Hoàng Văn Thụ, Phường An Phú Đông, Thanh Oai, Hải Dương, Việt Nam",Hải Dương,Việt Nam,355.258.6464x6481,imitchell@example.org,Lập trình viên,Đi làm,Có gia đình,Loyalty,2017-07-20,,Active,318,53,0.04,JZ274,34,765,15,251,566,197,False,9,5,9309180000,193124000,236405000,955117000,934084000,408094000,56138300,854610,200,73,25,0.7125270920392701,Dịch vụ không chuyên nghiệp,8,Sản phẩm nhận không đủ số lượng,Thanh toán bằng QR Code,"(['Cổng thanh toán của bên thứ ba'], [0])",True,0.5385499398667354,72,0.63,912,5,0.4484937430994558,Ổn định,7372000,Cho thuê,Từ 300 triệu tới 1 tỷ,Nhà ở chính,Có,29000000,116280000
15,84052,84052,Trình Hoàng H**g,Nam,2005-06-06,"1866/758, Lê Lợi, Phường An Lạc, Nam Từ Liêm, Hà Nội, Việt Nam",Hà Nội,Việt Nam,254.857.4492x956,morganjoseph@example.com,Lập trình viên,Trung học phổ thông,Có gia đình,VIP,2020-08-14,,Active,795,725,0.1,HC236,17,224,257,167,174,645,True,17,7,2550157000,100524000,521150000,725225000,616760000,673685000,83282900,2966900,241,82,2,0.0216196719318685,Vấn đề khác,15,Sản phẩm bị hỏng trong quá trình vận chuyển,Tiền mặt khi nhận hàng (COD),"(['Cửa hàng trực tiếp'], [0])",False,0.6558206797961066,51,0.98,250,39,0.3677849838414582,Rất ổn định,4125000,Kinh doanh truyền thống,Dưới 300 triệu,Căn hộ/Chung cư,Có,47600000,339936000
16,21363,21363,Lư Vân N**c,Nam,2005-07-24,"2224/71/86/39, Hồ Tùng Mậu, Phường Bình Trưng Tây, Quận 8, Bình Phước, Việt Nam",Bình Phước,Việt Nam,550-731-7742,fraziermatthew@example.org,Lập trình viên,Đi làm,Độc thân,VIP,2015-08-10,,Active,889,511,0.1,SF468,17,533,54,105,397,90,False,2,11,9652460000,453406000,355409000,518562000,283650000,500073000,99236700,4845220,283,63,69,0.7533965015839704,Sản phẩm không đáp ứng yêu cầu của khách hàng,7,Khách hàng không nhận được hàng,Chuyển khoản ngân hàng,"(['Điểm thanh toán tự động'], [0])",True,0.85924459119663,52,0.64,799,36,0.5996856875657705,Tạm ổn,8105000,Làm thuê,Từ 300 triệu tới 1 tỷ,Bất động sản thương mại,Có,13400000,425328000
17,71753,71753,Kỷ Phong V*n,Nữ,1997-05-23,"2499/64/103E, Phố Trịnh Đình C, Phường An Phú, Phú Thọ, Hà Nội, Việt Nam",Hà Nội,Việt Nam,295.511.9575x86946,julie81@example.com,Kỹ sư phần mềm,Trung học phổ thông,Có 1 bé,VIP,2022-09-01,2024-10-19,Active,590,80,0.1,EO914,25,697,30,46,360,742,True,1,12,6125818000,394752000,74758000,916108000,551784000,279752000,43548100,7781200,205,87,5,0.1696519554889812,Khách hàng không hài lòng với trải nghiệm mua hàng,4,Sản phẩm gửi sai,Tiền mặt khi nhận hàng (COD),"(['Cổng thanh toán của bên thứ ba'], [0])",True,0.222472950303854,48,0.73,380,39,0.5678535602350349,Rất ổn định,7174000,Đầu tư,Trên 1 tỷ,Đất đai,Có,49900000,70176000
18,23282,23282,Mã Đức N**c,Nam,1982-03-20,"1880/93/70/117n, Lê Văn Sỹ, Phường Linh Đông, Sóc Sơn, Hà Nội, Việt Nam",Hà Nội,Việt Nam,965.872.4534x0171,lindseydean@example.com,Công nhân,Đi làm,Có gia đình,VIP,2018-03-15,,Active,878,22,0.05,KM641,40,333,79,63,210,500,True,11,20,4651153000,136102000,719170000,104114000,555819000,911611000,4732400,2547580,106,82,8,0.2660330363094494,Sản phẩm không hoạt động đúng cách,11,Sản phẩm nhận không đủ số lượng,Thanh toán qua cổng thanh toán trực tuyến,"(['Cửa hàng trực tiếp'], [0])",False,0.917042460773411,94,0.84,248,30,0.3835484027090322,Rất ổn định,9907000,Kinh doanh truyền thống,Trên 3 tỷ,Căn hộ/Chung cư,Có,43900000,571656000
19,40921,40921,Cung Thái Q***h,Nữ,1985-08-15,"2797/69/35/247/29, Nguyễn Du, Phường Linh Chiểu, Quận Phú Nhuận, Bình Dương, Việt Nam",Bình Dương,Việt Nam,522.851.8884x065,ogolden@example.com,Giám đốc,Trung học phổ thông,Độc thân,Loyalty,2019-07-14,,Active,273,118,0.04,LR805,37,268,215,55,379,540,True,21,3,9415908000,805678000,781889000,460203000,663876000,547170000,81451700,9637390,205,76,44,0.9217195673825324,Khách hàng không hài lòng với trải nghiệm mua hàng,14,Khách hàng không nhận được hàng,Thanh toán qua cổng thanh toán trực tuyến,"(['Ứng dụng điện thoại di động'], [0])",False,0.7451599815361734,72,0.88,763,29,0.318559409482881,Rất ổn định,9864000,Kinh doanh truyền thống,Từ 300 triệu tới 1 tỷ,Đất đai,Không,11900000,55788000
20,32482,32482,Lư Hà V*,Nam,1979-09-29,"2834/29/102/153/106n, Nguyễn Văn Trỗi, Phường Tam Phú, Quận 4, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,683.985.8369,ramirezanthony@example.com,Nhân viên,Đại học,Có 1 bé,VIP,2019-10-06,,Active,589,438,0.1,TF776,43,526,213,76,23,873,False,8,12,6787605000,575660000,819242000,175685000,644745000,246802000,90002300,7139100,249,12,10,0.1538780202092751,Sản phẩm giao muộn so với hẹn giao,5,Sản phẩm không đúng mô tả,Thanh toán qua cổng thanh toán trực tuyến,"(['Cổng thanh toán của bên thứ ba'], [0])",False,0.8582588560893726,68,0.78,473,32,0.5396818110651329,Rất ổn định,1938000,Cho thuê,Dưới 300 triệu,Căn hộ/Chung cư,Có,4000000,482784000
21,14317,14317,Sử Hòa T**i,Nam,2004-11-02,"1407/815, Đặng Văn Ngữ, Phường 4, Quận 2, Hồ Chí Minh, Việt Nam",Hồ Chí Minh,Việt Nam,001-759-261-1413x59048,david64@example.org,Lập trình viên,Đại học,Đã kết hôn,Loyalty,2013-02-21,,Active,365,351,0.04,IT133,18,285,122,85,275,17,True,21,1,5703857000,57717000,885611000,101311000,694320000,637748000,69404600,4401180,151,67,59,0.4749748225017958,Dịch vụ không chuyên nghiệp,15,Sản phẩm gửi sai,Thanh toán qua cổng thanh toán trực tuyến,"(['Điểm thanh toán tự động'], [0])",True,0.8853662841479422,73,0.55,170,7,0.6490290044299282,Tạm ổn,7798000,Kinh doanh online,Dưới 300 triệu,Bất động sản thương mại,Có,46100000,505548000
22,5169,5169,Vương Tiến P****g,Nam,2008-03-08,"2988/45, Đường Võ Văn C, Phường An Phú, Thanh Oai, Đà Nẵng, Việt Nam",Đà Nẵng,Việt Nam,3718627089,dana06@example.com,Kỹ sư phần mềm,Trung học phổ thông,Độc thân,VIP,2019-01-10,,Active,741,213,0.1,RD967,14,756,322,242,231,28,True,17,15,4702485000,753335000,221506000,784729000,850409000,391087000,94645400,944580,79,75,9,0.2583280348842525,Vấn đề khác,2,Vấn đề khác,Tiền mặt khi nhận hàng (COD),"(['Ứng dụng điện thoại di động'], [0])",True,0.7913751337179562,71,0.4,489,40,0.778213322964509,Rất ổn định,4685000,Đầu tư,Dưới 300 triệu,Bất động sản thương mại,Có,15800000,376440000
23,34056,34056,Đoàn Oanh H***n,Nữ,2003-04-19,"1049/64/103/10, Phố Lê Lợi, Phường An Khánh, Hoài Đức, Bình Dương, Việt Nam",Bình Dương,Việt Nam,244-855-1718,espinozaerin@example.net,Lập trình viên,Đại học,Đã kết hôn,VIP,2017-07-05,,Active,906,545,0.1,YN805,19,438,16,225,471,580,False,18,10,1204958000,550399000,948164000,653785000,276802000,776307000,91233200,6677560,9,70,6,0.7881848749271633,Vấn đề khác,6,Sản phẩm gửi sai,Tiền mặt khi nhận hàng (COD),"(['Cổng thanh toán của bên thứ ba'], [0])",False,0.7864945801652432,79,0.16,433,10,0.9320877693205284,Rất ổn định,7645000,Freelancer,Từ 300 triệu tới 1 tỷ,Nhà ở chính,Có,6100000,32460000
24,27186,27186,Vương Sơn L*n,Nam,1993-09-15,"1862/577, Phố Lý Thường Kiệt, Phường 12, Quận 12, Ninh Bình, Việt Nam",Ninh Bình,Việt Nam,001-466-315-9251x64245,cyoung@example.com,Giáo viên,Đi làm,Đã kết hôn,VIP,2019-01-04,,Active,867,852,0.05,EB914,29,551,43,236,233,845,False,17,17,8539537000,571052000,751476000,83096000,452118000,590334000,90172800,5835670,188,26,1,0.8138573698622686,Vấn đề khác,9,Vấn đề khác,Chuyển khoản ngân hàng,"(['Giao diện thanh toán trực tuyến trên website'], [0])",True,0.8775317894668389,71,0.01,617,42,0.1749762950207251,Rất ổn định,9906000,Kinh doanh online,Trên 1 tỷ,Bất động sản thương mại,Có,45900000,505140000
25,30850,30850,Cao Hạnh Đ*t,Nữ,1999-10-16,"1507/922, Trần Quang Khải, Phường 7, Đan Phượng, Bà Rịa - Vũng Tàu, Việt Nam",Bà Rịa - Vũng Tàu,Việt Nam,8924519931,patriciaturner@example.org,Bác sĩ,Đại học,Độc thân,Loyalty,2022-08-02,,Active,159,3,0.04,OL414,23,591,260,177,529,745,True,23,18,4266499000,878546000,952680000,161304000,713304000,854673000,59176900,7417480,9,91,34,0.0076526446900995,Dịch vụ không chuyên nghiệp,6,Sản phẩm nhận không đủ số lượng,Thẻ tín dụng,"(['Điểm thanh toán tự động'], [0])",True,0.2034931625449576,88,0.83,566,12,0.0817352591067888,Ổn định,9014000,Freelancer,Từ 300 triệu tới 1 tỷ,Đất đai,Không,5500000,188592000
26,77105,77105,Đặng Thúy T**i,Nữ,1991-12-18,"2152/497, Nguyễn Đức Cảnh, Phường Linh Tây, Phúc Thọ, Bình Phước, Việt Nam",Bình Phước,Việt Nam,714-452-3628,qparker@example.com,Nhân viên phục vụ khách hàng,Sinh viên,Đã kết hôn,Loyalty,2017-02-19,2019-01-12,Expired,371,279,0.04,TT728,31,783,359,56,527,516,False,21,15,6570064000,699330000,107021000,854719000,582645000,986052000,68869000,4885170,242,8,5,0.4381461757473003,Khách hàng không hài lòng với trải nghiệm mua hàng,7,Sản phẩm gửi sai,Chuyển khoản ngân hàng,"(['Ứng dụng điện thoại di động'], [0])",False,0.8574438590621539,18,0.87,288,15,0.3233899031219737,Rất ổn định,9007000,Kinh doanh online,Trên 1 tỷ,Đất đai,Không,3900000,537240000
27,29363,29363,Hà Tuyến T**y,Nữ,2000-10-26,"2973/48/77, Bùi Hữu Nghĩa, Phường 12, Quận Phú Nhuận, Đà Nẵng, Việt Nam",Đà Nẵng,Việt Nam,(237)471-4398x743,jacobsangela@example.net,Kỹ sư,Đi làm,Độc thân,VIP,2019-02-25,2021-09-10,Expired,648,152,0.05,TL782,22,180,62,174,384,558,True,13,10,1260649000,372308000,606853000,489172000,782671000,375406000,58290800,5241580,89,14,3,0.4805987335678605,Dịch vụ không chuyên nghiệp,10,Khách hàng không nhận được hàng,Tiền mặt khi nhận hàng (COD),"(['Giao diện thanh toán trực tuyến trên website'], [0])",False,0.2334105720688312,47,0.38,232,48,0.6125441010597831,Ổn định,1157000,Đầu tư,Trên 3 tỷ,Đất đai,Có,33500000,293808000
28,51675,51675,Lỗ Tú T**ý,Nam,1971-03-25,"1473/89/37/33, Trương Đăng Quế, Phường 6, Quận 11, Hải Phòng, Việt Nam",Hải Phòng,Việt Nam,001-490-970-7473x12383,westbeth@example.net,Công nhân,Đại học,Có 2 bé,VIP,2019-03-16,,Active,862,206,0.07,ES645,51,625,102,99,484,477,True,17,16,8418617000,144717000,364700000,404960000,288245000,386608000,66868800,3903520,70,65,1,0.9009686557665852,Dịch vụ không chuyên nghiệp,11,Vấn đề khác,Thẻ tín dụng,"(['Ứng dụng điện thoại di động'], [0])",False,0.6479408587703048,88,0.19,462,46,0.436411027447855,Tạm ổn,5852000,Cho thuê,Dưới 300 triệu,Bất động sản thương mại,Có,30400000,198264000
29,98578,98578,Lục Đức Đ*n,Nam,2010-02-18,"478/21/92/202D, Trần Hưng Đạo, Phường An Phú Đông, Quốc Oai, Bà Rịa - Vũng Tàu, Việt Nam",Bà Rịa - Vũng Tàu,Việt Nam,376-523-9034,robert32@example.org,Lập trình viên,Tiến sĩ,Có gia đình,VIP,2021-12-08,2023-05-17,Active,845,468,0.1,RV631,12,362,70,268,94,82,False,14,19,20881000,824388000,274765000,482601000,94707000,191833000,51946400,3520390,71,61,2,0.752964725427307,Khách hàng không hài lòng với trải nghiệm mua hàng,3,Vấn đề khác,Thanh toán bằng QR Code,"(['Cửa hàng trực tiếp'], [0])",True,0.1062997846001667,66,0.67,303,46,0.4755808183233826,Ổn định,6972000,Cho thuê,Dưới 300 triệu,Đất đai,Có,43200000,15396000
30,47306,47306,Thi Phương T***h,Nữ,2008-05-13,"14/48/141/147, Cô Giang, Phường An Khánh, Quận 12, Bến Tre, Việt Nam",Bến Tre,Việt Nam,(251)379-4361x262,rlewis@example.net,Nhân viên hỗ trợ kỹ thuật,Đi làm,Đã kết hôn,VIP,2015-06-08,,Active,520,170,0.1,ZS611,14,688,111,201,567,693,False,0,7,722290000,51486000,659688000,284259000,321990000,526265000,3580100,5564350,27,51,19,0.7033066779306865,Sản phẩm không hoạt động đúng cách,7,Sản phẩm bị hỏng trong quá trình vận chuyển,Thanh toán bằng QR Code,"(['Giao diện thanh toán trực tuyến trên website'], [0])",False,0.7847575241420127,21,0.74,252,31,0.2482255947859049,Ổn định,8989000,Kinh doanh truyền thống,Dưới 300 triệu,Nhà ở chính,Có,30300000,534024000
31,76,76,La Anh N**t,Nam,1997-05-02,"2096/46/28, Võ Duy Ninh, Phường Bình Khánh, Đông Anh, Tây Ninh, Việt Nam",Tây Ninh,Việt Nam,(657)668-9272,brandonrogers@example.net,Giáo viên,Đi làm,Có 2 bé,VIP,2016-09-02,,Active,516,480,0.07,EN903,25,619,151,299,263,759,False,19,13,9955644000,432048000,957706000,153585000,339742000,178676000,47526200,4122270,296,98,46,0.8996040818611161,Dịch vụ không chuyên nghiệp,9,Vấn đề khác,Tiền mặt khi nhận hàng (COD),"(['Ứng dụng điện thoại di động'], [0])",False,0.2604977592216915,49,0.02,625,18,0.1595871213248566,Rất ổn định,4504000,Kinh doanh truyền thống,Dưới 300 triệu,Căn hộ/Chung cư,Không,42200000,368136000
